PCs,svm_mean,svm_std,log_mean,log_std,forest_mean,forest_std,lda_mean,lda_std,nb_mean,nb_std
10,0.705439330543933,0.048965135879569265,0.6705181847441262,0.0640914926299357,0.7175088509816543,0.03342365359885987,0.6939813324750563,0.024422029666698295,0.6946894110074027,0.027052464663505894
20,0.713807531380753,0.05422723050388333,0.6566462825877052,0.07113761466690713,0.7314129385259093,0.028688538921716508,0.6892178950756357,0.035064262907405816,0.7154811715481171,0.029434236656881087
30,0.710492436433859,0.04642188539892191,0.6502413904087544,0.05746949525576425,0.7307692307692308,0.027154626888250225,0.6784357901512713,0.04989331027460774,0.7120373350498873,0.033829368964875844
40,0.7143868683617638,0.03952667024904731,0.6602510460251045,0.03883156038025857,0.7304151915030576,0.028428717411564903,0.6784357901512713,0.04709354685600053,0.7095268747988414,0.032804947668547565
50,0.7128097843579015,0.04307657967497283,0.6581589958158995,0.038393727769043366,0.7290634052140328,0.029857494559167325,0.6754425490827164,0.05094657156385535,0.7077566784679756,0.0329778526384385
no_pc,0.9350498873511427,0.0043128419697457425,0.9691020276794335,0.002376057782464319,0.9589636305117477,0.0034649778660667562,0.972256195687158,0.0012858052369126678,0.7048921789507563,0.08460138422131101
