PCs,svm_mean,svm_std,log_mean,log_std,forest_mean,forest_std,lda_mean,lda_std,nb_mean,nb_std
10,0.9831670421628582,0.010855878925808938,0.9808496942388156,0.006746659203597095,0.9867074348245897,0.008726099120547212,0.9772127454135824,0.009334650302380239,0.974348245896363,0.0010703758705063213
20,0.9871258448664306,0.010854638357535574,0.9879304795622789,0.004749935195203916,0.9873511425812682,0.007892707627363795,0.986063727067911,0.010322230722508754,0.9758609591245575,0.0019257515676410096
30,0.9863855809462503,0.011593264264578086,0.9867718056002577,0.005372550142224751,0.9872545864177663,0.007802152267313123,0.9855809462504024,0.010038848967899264,0.9719987125844867,0.0007548142516613105
40,0.9863855809462505,0.0118320594967424,0.9866430640489219,0.00563290264342592,0.9872867718056002,0.0069097462810167294,0.9850659800450596,0.009691703831415795,0.9722883810749918,0.0017699037122455952
50,0.9864821371097522,0.011548680475062226,0.9870292887029288,0.005712883674710329,0.985709687801738,0.008512654811435953,0.9851625362085613,0.010079423453850298,0.9711940778886385,0.0014784273032321606
no_pc,0.9984872867718056,0.0004146797144101833,0.9990666237528162,0.0005027518297976535,0.9968458319922755,0.0013977502897076473,0.9986482137109751,0.0007451456004370717,0.9868039909880915,0.0004551701198497097
